Number_of_Customers,Menu_Price,Marketing_Spend,Cuisine_Type,Average_Customer_Spending,Promotions,Reviews,Monthly_Revenue
57,43.51302941132982,8.821443165015674,Japanese,44.11705535418325,1,90,249.1352861205964
20,43.66118641240173,17.054560397514223,Italian,39.31436749327324,0,65,202.2323644923451
17,27.977353408549508,6.795376543022358,Mexican,43.79883414560405,1,88,231.04123356366637
81,38.96413317092554,8.577737577220772,American,42.322712684640905,0,47,434.1430937965747
79,31.6991454287747,5.133884566200917,Italian,49.24726235175369,0,42,284.91337306005414
78,29.770954005530857,1.2508445379473687,Mexican,26.42836981566665,1,48,290.83497064273547
36,40.61425124264963,10.791124409910102,Italian,44.85260988987414,0,73,101.7397793566238
11,22.829709617525097,14.60492294180292,Japanese,15.5347280355276,0,32,49.23777578037556
60,31.827475539818938,10.44888290810929,Italian,24.388794476410784,0,11,223.776825815488
21,18.479299636089543,1.706826729686497,Mexican,10.108325992818084,0,56,159.40530540492747
12,28.07794405196157,7.084724808895491,American,39.7894691131684,0,20,189.2388688837744
63,18.82244499689293,1.8456958414651448,Italian,26.99814076249721,0,70,216.59695759848844
72,19.81142129021338,5.086439623566335,American,19.822025037779643,1,62,246.13079274605968
39,13.477000598013973,13.757682197598305,Mexican,48.37888731821648,1,52,282.12830249633066
27,33.71673599327127,17.23484989836591,Mexican,14.094683383328372,0,72,83.60227642403875
50,31.340477011987826,16.9427897938757,Mexican,18.36148149543689,0,91,359.69514213459286
33,44.44272079898887,15.60799552294549,American,46.88767712205137,0,45,258.3128435793399
59,14.08774478774876,13.986307502524074,Japanese,25.219275419721438,0,21,270.54255109782724
42,38.34288018410518,13.015370951174948,Japanese,41.65137169986734,0,7,275.2114983817144
12,41.5160795316906,2.0961612999514423,Mexican,33.248619099575336,0,90,177.1210592007168
81,41.98148523678063,4.65291077125362,Japanese,22.600420287336984,1,91,326.52976287588587
49,43.49963156009969,8.485937717697762,American,10.037176674798442,1,48,354.05116946058604
56,14.132358284960628,7.908685359858287,Mexican,25.285316353039512,0,50,214.6059106851736
29,40.70895552267121,17.760781287202356,Japanese,23.847875467213107,1,51,193.3137430181332
66,15.137948723727654,1.5415602390292138,Japanese,37.65664230052608,0,54,145.66546547447803
32,34.93330203619963,9.618120015061391,Japanese,38.22250846598765,0,17,219.0541329122692
72,48.05914238663965,8.869116727638083,Italian,44.54564209668624,0,23,395.1728991526186
60,10.362896186108998,19.834852343356776,Japanese,13.48437157845736,1,73,361.5529383223986
47,26.17941798727403,14.400160793262264,Mexican,23.572913426228443,0,1,321.76733444528
53,26.25569233094088,16.302367689607358,American,22.28582592416846,0,8,366.700779257392
27,33.56434137883579,0.3589135713698366,Italian,33.68885597325762,1,70,164.72114414961743
28,17.418916383068897,16.938374561771198,Italian,44.58609418410983,0,31,159.6923291497161
54,10.834445571661524,16.591751137305007,Mexican,20.21413400915606,1,4,186.5776651872881
15,25.20298035748821,17.440966768940154,Japanese,48.93043532121967,0,12,154.85071627529058
19,45.93046509170824,14.72400850121524,American,37.085798666866765,0,64,141.78415222436442
18,12.59945637931576,7.94762780970633,Japanese,39.38834281060103,0,71,126.59930765459144
26,35.962986351775726,19.392154536961907,Mexican,15.242345232171616,1,15,298.4217332764146
72,41.60338548496347,2.107350679056119,American,32.29619857256749,1,49,330.2542096164665
16,18.14804997105097,16.76304367103849,Italian,30.627062043082923,0,20,104.63431073498684
96,39.833480481238574,1.2898254249833507,Italian,44.27857659104956,1,51,263.97443974917485
99,43.61809625107734,18.00642536148543,American,31.90071536239978,1,66,492.3054636497557
21,23.037018558082995,9.288664724510856,Japanese,15.621885119821716,0,48,139.52350880900096
73,20.595817889469338,3.1724828905275597,American,44.68709417805409,1,16,253.01291478494736
51,20.89207418881198,19.30259484253993,Japanese,44.13316866235151,1,15,271.4703792176433
46,40.74077458095165,3.304841008852064,Mexican,35.61522986576964,1,90,283.255286482674
34,41.71824378422527,10.599830458528372,Italian,32.58559431584808,0,63,223.22750640925375
67,16.416004213202882,17.596438279033904,Mexican,23.71355859221803,0,18,276.66559382046785
65,42.38119903073767,17.268015337140035,Mexican,48.08575668305406,1,65,293.8505188145648
58,36.50485116033281,4.525582164284636,Mexican,46.24934077740554,1,41,215.80235624401973
92,23.342781978888016,18.143996431212447,American,23.43373948157264,1,13,542.4672823869804
58,37.74870429613354,12.585976120214724,American,22.747584159620946,0,40,273.3665072232529
82,22.0824200733918,2.903930257693206,Italian,45.61763792004343,1,70,367.80918361430304
11,39.66747776914662,17.485249412204755,Mexican,37.80749864840263,0,23,163.50193427910392
98,48.20945250893916,7.538283294727439,Mexican,38.91138402486085,0,28,458.72836294212016
37,49.02165262731025,7.773055972596941,Japanese,35.44273681408903,0,52,241.24381544272228
99,35.280619440816736,14.395829067093722,Italian,25.71637342419573,0,5,386.2982019331676
82,32.29221475560192,5.47582615028213,Italian,10.272587916005126,1,76,229.26251142238368
69,25.17434359689695,15.83440518522693,Mexican,35.019122416986455,1,9,367.5586697014633
93,45.8685715936049,14.680595251786126,Japanese,34.602585194312454,1,67,344.19937514922776
27,23.48908531021681,18.3358338140467,American,37.5335364618626,0,77,349.0280255966162
42,19.161015636991856,13.61949654476489,Mexican,22.761802973289598,1,24,308.19802795312177
54,49.549151278217714,5.558041944977356,Mexican,49.46252456457642,0,5,264.63207904410905
35,32.983495292710664,15.080460698567643,Japanese,11.91655471653335,0,92,222.0412564907751
87,46.23564419151042,2.258632853720226,Italian,12.289467740672375,1,87,366.21539633237137
11,37.03364980349504,12.7418167416181,Japanese,47.50559119831608,0,96,223.4724251228208
80,23.57084983584764,8.676010245095435,American,19.424914047665936,0,49,355.542914915347
49,27.854094047905686,11.436183272143074,Italian,11.295565511039802,0,32,207.8446009327044
40,28.969492348014786,8.703607985107135,American,22.308112535593757,1,54,388.9162198377836
65,38.619636283970976,5.120951302099086,Japanese,26.06787571039106,0,72,226.0204172801732
24,40.02007699061254,4.577892096932272,Italian,17.95256243749612,0,36,221.3190913292622
52,32.06890381037359,2.118614251169859,American,17.08508576793016,0,15,203.37598814086965
17,49.81921962817028,17.33095963498174,Italian,19.585831398302265,0,83,219.58456806319043
